通し番号,RJナンバー,タイトル,サークル,声優,値段,販売数,ジャンル,発売日
42,RJ269126,"雪女の宿【エレナ&amp;アイリ編】～雪に閉ざされた宿で、懐かれて、遊ばれる～","陸わかめの潮騒","逢坂成美",1210,3784,"バイノーラル/ダミヘ;ASMR;耳かき;男性受け;耳舐め;少女",2019年11月09日
43,RJ268845,"小悪魔JK教え子の口封じ誘惑エッチ～恥ずかしい疑似セックスで射精しちゃう僕～","クッキーボイス","逢坂成美",330,457,"学校/学園;退廃/背徳/インモラル;色仕掛け;男性受け;学生;制服",2019年10月30日
44,RJ266798,"【全編バイノーラル収録!!】病的に愛が重いメンヘラサブカルクソ女の監禁調教観察日記【フォーリーサウンド】","逢縁喜縁","逢坂成美",1430,8540,"バイノーラル/ダミヘ;ASMR;監禁;耳舐め",2019年10月20日
45,RJ265942,"こちょこちょモンスターズ～モン娘たちにくすぐり搾られちゃう音声～","からあげ農園","柚木つばめ;姫綺るいな;結姫うさぎ;逢坂成美",1100,620,"手コキ;くすぐり;逆レイプ;ささやき;人外娘/モンスター娘;サキュバス/淫魔",2019年09月29日
46,RJ266043,"のじゃろり双子に挟まれて過ごす あまくてとろとろでどぴゅどぴゅな癒しの一日","ココナッツの夏！","逢坂成美;愛枝今日子",1100,977,"癒し;バイノーラル/ダミヘ;ASMR;耳かき;双子",2019年09月28日
47,RJ265722,"白川千鶴の性感開発リフレクソロジー ～アナタのチクビ、やさしく囁きながら気持ちよくしてあげる～(バイノーラル)","WHITE RIBBON","砂糖しお;逢坂成美",1100,908,"淫語;バイノーラル/ダミヘ;ASMR;耳舐め;ささやき;お姉さん",2019年09月28日
48,RJ264384,"弟大好きな変態お姉ちゃんの、朝昼晩オナサポっ♪","ダチュラスクリプト","逢坂成美",1100,2222,"淫語;バイノーラル/ダミヘ;耳かき;ラブラブ/あまあま;中出し;義姉",2019年09月26日
49,RJ265522,"だべろう屋〜秋野かえでと逢坂成美の気ままフリートーク第2弾","ココナッツの夏！","秋野かえで;逢坂成美",550,990,"癒し;バイノーラル/ダミヘ;ASMR;ラブコメ;日常/生活;百合",2019年09月21日
50,RJ264329,"大人の子守歌(ゆりかごのうた)","DDBY","陽向葵ゅか;みもりあいの;ゆめ子;逢坂成美;小日向さくら;浅見ゆい;柚木朱莉;沢野ぽぷら;和鳴るせ",440,647,"癒し;バイノーラル/ダミヘ;ASMR;催眠音声;ささやき;お姉さん",2019年09月06日
51,RJ264327,"大人の子守歌(江戸子守歌)","DDBY","浅見ゆい;みもりあいの;ゆめ子;逢坂成美;小日向さくら;沢野ぽぷら;柚木朱莉;陽向葵ゅか;和鳴るせ",440,439,"癒し;バイノーラル/ダミヘ;ASMR;催眠音声;ささやき;お姉さん",2019年09月06日
52,RJ260120,"【催眠音声】ノウミソマドラー",".␣ [Dot-Space]","逢坂成美",1100,3435,"逆転無し;バイノーラル/ダミヘ;催眠音声;男性受け;道具/異物;女医",2019年09月03日
53,RJ263314,"青少年精液検査大会","夕暮れ図書館","山田じぇみ子;逢坂成美",770,446,"逆転無し;バイノーラル/ダミヘ;言葉責め;焦らし;男性受け;耳舐め",2019年08月30日
54,RJ262976,"ご主人様の耳とチ〇ポは快楽漬けです～ナギサのご奉仕調教～","サイドオフ","天知遥;逢坂成美",1320,362,"バイノーラル/ダミヘ;手コキ;フェラチオ;言葉責め;男性受け;耳舐め",2019年08月24日
55,RJ261893,"アプリで出会ったむっつりJK ～えろえろ処女は勉強熱心!?～","夕暮れ図書館","逢坂成美",990,602,"バイノーラル/ダミヘ;ラブラブ/あまあま;手コキ;中出し;フェラチオ;学生",2019年08月20日
56,RJ262553,"コス自撮りJDちゃんにオフでお金も精液もい～っぱい搾られて雑魚マゾになっちゃいましょっ♪","サブリミナル大回転","逢坂成美",1100,484,"着衣;バイノーラル/ダミヘ;言葉責め;男性受け",2019年08月19日
57,RJ259534,"オレっ娘アリスの癒し(ドS)のご奉仕","Re:Apple","逢坂成美",880,5596,"ASMR;耳かき;耳舐め;ロリ",2019年08月11日
58,RJ260715,"だべろう屋～秋野かえでと逢坂成美の気ままフリートーク集第一弾","ココナッツの夏！","逢坂成美;秋野かえで",550,1178,"萌え;癒し;バイノーラル/ダミヘ;耳かき;百合",2019年08月10日
59,RJ254757,"ジトメイドすてらちゃんの魅惑のぬぷぬぷご奉仕","ココナッツの夏！","逢坂成美",1320,2032,"癒し;バイノーラル/ダミヘ;ASMR;パイズリ;ローション;メイド",2019年07月28日
60,RJ259488,"貢ぎマゾ性癖治療カウンセリング～～バーチャルセッションでお金本当に奪われちゃう恐怖体験させてアゲル","ミツギアイ","逢坂成美",1100,547,"催眠",2019年07月25日
61,RJ256481,"悪堕ちオナホ怪人に改造された後輩に洗脳調教で射精我慢勝負をする話。","ドダメ屋さん","逢坂成美",1100,811,"バイノーラル/ダミヘ;寝取られ;男性受け;悪堕ち;洗脳;変身ヒロイン",2019年06月29日
62,RJ254778,"本作品に登場するのはソフトヤンデレです。過激な表現やセリフは半分くらい演技になります。流血表現・残酷描写はありませんが、性的な表現はあります。","oresam","逢坂成美",770,299,"ラブラブ/あまあま;逆レイプ;男性受け;耳舐め;ヤンデレ",2019年06月07日
63,RJ248571,"幼妻ちぃちゃんのえっちな尋問ごっこ","ココナッツの夏！","逢坂成美",1320,1922,"バイノーラル/ダミヘ;ASMR;耳かき;露出;耳舐め",2019年06月01日
